405,S/RES/1669 (2006),Democratic Republic of the Congo
406,S/RES/1668 (2006),International Criminal Tribunal for the former Yugoslavia (ICTY)
407,S/RES/1667 (2006),Liberia
408,S/RES/1666 (2006),Georgia
409,S/RES/1665 (2006),Sudan
410,S/RES/1664 (2006),Middle East
411,S/RES/1663 (2006),Sudan
412,S/RES/1662 (2006),Aghanistan
413,S/RES/1661 (2006),Situation between Eritrea and Ethiopia
414,S/RES/1660 (2006),International Criminal Tribunal for the former Yugoslavia (ICTY)
415,S/RES/1659 (2006),Aghanistan
416,S/RES/1658 (2006),Haiti
417,S/RES/1657 (2006),Cote d'Ivoire
418,S/RES/1656 (2006),Georgia
419,S/RES/1655 (2006),Middle East
420,S/RES/1654 (2006),Democratic Republic of the Congo
421,S/RES/1653 (2006),The Great Lakes region
422,S/RES/1652 (2006),Cote d'Ivoire
423,S/RES/1651 (2005),Sudan
424,S/RES/1650 (2005),Burundi
425,S/RES/1649 (2005),Democratic Republic of the Congo
426,S/RES/1648 (2005),Middle East
427,S/RES/1647 (2005),Liberia
428,S/RES/1646 (2005),Post-conflict peacebuilding
429,S/RES/1645 (2005),Post-conflict peacebuilding
430,S/RES/1644 (2005),Middle East
431,S/RES/1643 (2005),Cote d'Ivoire
432,S/RES/1642 (2005),Cyprus
433,S/RES/1641 (2005),Burundi
434,S/RES/1640 (2005),Situation between Eritrea and Ethiopia
435,S/RES/1639 (2005),Bosnia and Herzegovina
436,S/RES/1638 (2005),Liberia
437,S/RES/1637 (2005),Iraq
438,S/RES/1636 (2005),Middle East
439,S/RES/1635 (2005),Democratic Republic of the Congo
440,S/RES/1634 (2005),Western Sahara
441,S/RES/1633 (2005),Cote d'Ivoire
442,S/RES/1632 (2005),Cote d'Ivoire
443,S/RES/1631 (2005),Cooperation between the United Nations and regional organizations in maintaining international peace and security
444,S/RES/1630 (2005),Somalia
445,S/RES/1629 (2005),International Criminal Tribunal for the former Yugoslavia (ICTY)
446,S/RES/1628 (2005),Democratic Republic of the Congo
447,S/RES/1627 (2005),Sudan
448,S/RES/1626 (2005),Liberia
449,S/RES/1625 (2005),Threats to international peace and security (Security Council Summit 2005)
450,S/RES/1624 (2005),Threats to international peace and security (Security Council Summit 2005)
451,S/RES/1623 (2005),Afghanistan
452,S/RES/1622 (2005),Situation between Eritrea and Ethiopia
453,S/RES/1621 (2005),Democratic Republic of the Congo
454,S/RES/1620 (2005),Sierra Leone
455,S/RES/1619 (2005),Iraq
456,S/RES/1618 (2005),Threats to international peace and security caused by terrorist acts
457,S/RES/1617 (2005),Threats to international peace and security caused by terrorist acts
458,S/RES/1616 (2005),Democratic Republic of the Congo
459,S/RES/1615 (2005),Georgia
460,S/RES/1614 (2005),Middle East
461,S/RES/1613 (2005),International Criminal Tribunal for the former Yugoslavia (ICTY)
462,S/RES/1612 (2005),Children and armed conflict
463,S/RES/1611 (2005),Threats to international peace and security caused by terrorist acts
464,S/RES/1610 (2005),Sierra Leone
465,S/RES/1609 (2005),Cote d'Ivoire
466,S/RES/1608 (2005),Haiti
467,S/RES/1607 (2005),Liberia
468,S/RES/1606 (2005),Burundi
469,S/RES/1605 (2005),Middle East
470,S/RES/1604 (2005),Cyprus
471,S/RES/1603 (2005),Cote d'Ivoire
472,S/RES/1602 (2005),Burundi
473,S/RES/1601 (2005),Haiti
474,S/RES/1600 (2005),Cote d'Ivoire
475,S/RES/1599 (2005),Timor-Leste
476,S/RES/1598 (2005),Western Sahara
477,S/RES/1597 (2005),International Criminal Tribunal for the former Yugoslavia (ICTY)
478,S/RES/1596 (2005),Democratic Republic of the Congo
479,S/RES/1595 (2005),Middle East
480,S/RES/1594 (2005),Cote d'Ivoire
481,S/RES/1593 (2005),Sudan
482,S/RES/1592 (2005),Democratic Republic of the Congo
483,S/RES/1591 (2005),Sudan
484,S/RES/1590 (2005),Sudan
485,S/RES/1589 (2005),Afghanistan
486,S/RES/1588 (2005),Sudan
487,S/RES/1587 (2005),Somalia
488,S/RES/1586 (2005),Situation between Eritrea and Ethiopia
489,S/RES/1585 (2005),Sudan
490,S/RES/1584 (2005),Cote d'Ivoire
491,S/RES/1583 (2005),Middle East
492,S/RES/1582 (2005),Georgia
493,S/RES/1581 (2005),International Criminal Tribunal for the former Yugoslavia (ICTY)
494,S/RES/1580 (2004),Guinea-Bissau
495,S/RES/1579 (2004),Liberia
496,S/RES/1578 (2004),Middle East
497,S/RES/1577 (2004),Burundi
498,S/RES/1576 (2004),Haiti
499,S/RES/1575 (2004),Bosnia and Herzegovina
500,S/RES/1574 (2004),Sudan
501,S/RES/1573 (2004),Timor-Leste
502,S/RES/1572 (2004),Cote d'Ivoire
503,S/RES/1571 (2004),Date of election to fill a vacancy in the International Court of Justice (S/2004/830)
504,S/RES/1570 (2004),Western Sahara
505,S/RES/1569 (2004),Security Council meetings in Nairobi
506,S/RES/1568 (2004),Cyprus
507,S/RES/1567 (2004),International Criminal Tribunal for the former Yugoslavia (ICTY) - List of candidates for Permanent Judges
508,S/RES/1566 (2004),Threats to international peace and security caused by terrorist acts
509,S/RES/1565 (2004),Democratic Republic of the Congo
510,S/RES/1564 (2004),Report of the Secretary-General on the Sudan
511,S/RES/1563 (2004),Afghanistan
512,S/RES/1562 (2004),Sierra Leone
513,S/RES/1561 (2004),Liberia
514,S/RES/1560 (2004),Situation between Eritrea and Ethiopia
515,S/RES/1559 (2004),Middle East
516,S/RES/1558 (2004),Somalia
517,S/RES/1557 (2004),Situation between Iraq and Kuwait
518,S/RES/1556 (2004),Report of the Secretary-General on the Sudan
